flag,id,prefix,question_text,answer_text,unit_text
missing_question,QA1103,QA,,,
missing_cot,LD348,LD,"Two charges q1 = 3.6 × 10^-6 C and q2 = -1.2 × 10^-6 C are separated by 9.2 cm. Point M is located 4.6 cm equidistant from A and B along a direction perpendicular to AB, and is offset 2.0 cm from the midpoint of AB. Calculate the resultant electric field strength at M. Give your answer rounded two decimal places.",8.09*10^6,V/m
missing_cot,LD350,LD,"Two charges q1 = -4.2 × 10^-6 C and q2 = -4.8 × 10^-6 C are separated by 8.0 cm. Point M is equidistant from A and B at 4.0 cm, located along a line perpendicular to AB and 4.4 cm from the midpoint of AB. Calculate the resultant electric field at M. Give your answer rounded one decimal places.",1.8*10^7,V/m
missing_answer,QA8000164,QA,A motorboat travels downstream from A to B in 4 hours and upstream from B back to A in 5 hours. What is the ratio between the downstream speed and the upstream speed of the motorboat?,,
missing_answer,QA8000270,QA,"A car travels from A to B at a speed of 56 km/h. A motorbike travels from B to A at a speed of 36 km/h. After 2 hours, the two vehicles meet. Calculate the distance AB.",,
missing_answer,QA8000290,QA,"An object AB is placed in front of a diverging lens with a focal length f = 12 cm. The object AB is positioned 8 cm from the lens (object distance d = 8 cm). Point A lies on the principal axis, and the height of object AB is 6 mm. Determine the height of the image of object AB by calculation.",,
missing_answer,QA8000291,QA,"An object has a mass of 5 kg. Calculate its potential energy when it is at a height of 25 m. Also, calculate its velocity when it hits the ground after being dropped from that height.",,
missing_answer,QA8000367,QA,An airplane with a mass of 1 ton is flying at a velocity of 50m/s at an altitude of 10km. Calculate the mechanical energy of the airplane.,,
missing_answer,QA8000389,QA,"A motorboat travels downstream from A to B, a distance of 30 km, and then returns upstream to A. The entire round trip takes 4 hours and 30 minutes (4.5 hours). Find the speed of the motorboat in still water and the speed of the current, given that the speed of the motorboat in still water is 10 km/h greater than the speed of the current.",,
missing_answer,QA8000410,QA,An object is moving with a velocity of 5 m/s. Its kinetic energy is 100 J. Calculate the mass of the object.,,
missing_answer,QA8000435,QA,"A person rides a bicycle at 15 km/h, and a car travels at 30 km/h. The total distance is 60 km. How much less time does the car take to complete the journey compared to the bicycle?",,
missing_answer,QA8000639,QA,"A car travels from A to B, a distance of 197.5 km. After the car has been traveling for 2.5 hours, a motorbike starts from B towards A and meets the car after another 20 minutes. Calculate the speed of each vehicle, given that the car travels 25 km/h faster than the motorbike.",,
missing_answer,QA8001208,QA,"At 8:15 AM, Mr. Xuan cycles from A to B. At 8:45 AM, Mr. Thu cycles from A to B. Given that the distance Mr. Xuan travels in 35 minutes is equal to the distance Mr. Thu travels in 30 minutes, at what time does Mr. Thu catch up with Mr. Xuan?",,
missing_answer,QA8001603,QA,"A boat travels downstream and then returns upstream on river section AB, which is 40 km long, taking a total of 4 hours and 30 minutes. It is known that the time taken to travel 5 km downstream is equal to the time taken to travel 4 km upstream. If a leaf drifts downstream on river section AB, how long will it take this leaf to float a distance equal to half the length of river section AB?",,
missing_answer,QA7996100,QA,"A car departs from A to B at 7:15 AM with a speed of 40 km/h. Upon arriving at B, the car stops for 1 hour and 30 minutes, then returns to A with a speed of 50 km/h, arriving at A at 3:30 PM. Calculate the distance AB.",,
missing_answer,QA7996106,QA,"Here's the translation of the question into English:
A particle undergoes simple harmonic motion with the equation:
x = 8cos(2πt + π) (cm)
a) Find the period of oscillation.
b) Find the velocity and acceleration of the particle when it passes through the position x = 4 cm.
c) Starting from t = 0, find the times when the particle passes through the position x = 4 cm for the first time and for the fourth time.",,
missing_answer,QA7996165,QA,"A car travels from A to B in a certain amount of time. If the car travels 10 km/h faster, it arrives 3 hours earlier than scheduled. If it travels 10 km/h slower, it arrives 5 hours late. Calculate the original speed of the car. (Solve the problem by setting up a system of equations).",,
missing_answer,QA7996184,QA,"A car travels from A to B with a scheduled arrival time of 12 PM.
If the car travels at a speed of 35 km/h, it will arrive at B 2 hours later than the scheduled time.
If the car travels at a speed of 50 km/h, it will arrive at B 1 hour earlier than the scheduled time.
Find the departure time of the car from A.""
(Solve the problem by setting up a system of equations.)",,
missing_answer,QA7996310,QA,"The distance between A and B is 150 km. A car starts from A and a motorcycle starts from B. The two vehicles depart at the same time and meet after 1.5 hours. Find the speed of each vehicle, knowing that the car's speed is 20 km/h greater than the motorcycle's speed.",,
missing_answer,QA7996524,QA,"A motorboat travels downstream from point A to point B, then travels upstream back from point B to point A. The difference in time between the downstream and upstream journeys is 40 minutes. Calculate the speed of the motorboat in still water.",,
missing_answer,QA7996529,QA,"A cyclist and a motorcyclist simultaneously depart from point A to point B, a distance of 57 km. The motorcyclist reaches B, rests for 20 minutes, then turns back towards A and meets the cyclist 24 km from B. Calculate the speed of each person, given that the motorcyclist's speed is 36 km/h greater than the cyclist's speed.",,
missing_answer,QA7996727,QA,"Two cars start at the same time from two locations A and B, moving towards location C. Given that AC = 90 km and BC = 126 km. The car starting from A travels at a speed of 50 km/h. If both cars are to arrive at C at the same time, what speed v2 must the car starting from B travel at?",,
